klass,s,t,col,dt
email,build,intake_items,submitter_email,text
email,public,alumni_profiles,email,text
email,public,billing_profiles,billing_email,character varying
email,public,blog_authors,email,character varying
email,public,business_parties,email,text
email,public,candidate_reference_checks,reference_email,text
email,public,candidates,email,text
email,public,client_accounts,client_email,text
email,public,clients,email,text
email,public,contacts,email,text
email,public,crm_mailbox_sync,mailbox_address,text
email,public,crm_outbound_messages,recipient_email,text
email,public,crm_people,email,text
email,public,csat_responses,respondent_email,text
email,public,deals,contact_email,text
email,public,email_outbox,to_email,text
email,public,email_suppressions,email,text
email,public,external_referrers,email,text
email,public,external_referrers,email_verified_at,timestamp without time zone
email,public,gl_parties,email,text
email,public,inv_vendors,email,text
email,public,invitations,email,text
email,public,lead_emails,from_email,text
email,public,lead_emails,to_email,text
email,public,leads,email,text
email,public,mail_message_metadata,sender_email,text
email,public,notification_deliveries,recipient_address,text
email,public,notification_preferences,email_enabled,boolean
email,public,nps_responses,respondent_email,text
email,public,organization_people,personal_email,text
email,public,organization_people,work_email,text
email,public,organizations,billing_email,text
email,public,organizations,support_email,text
email,public,party_contacts,email,text
email,public,platform_messages,email,text
email,public,platform_payments,customer_email,text
email,public,platform_waitlist,email,text
email,public,portal_invitations,email,text
email,public,recruitment_vendors,contact_email,text
email,public,referrals,referred_email,character varying
email,public,sign_audit_events,actor_email,text
email,public,sign_recipients,email,text
email,public,subject_requests,subject_email,text
email,public,subprocessor_subscribers,email,text
email,public,support_ticket_messages,source_contact_email,text
email,public,support_tickets,requester_email,text
email,public,survey_participants,email,text
email,public,terminations,email_sent_at,timestamp without time zone
email,public,terminations,email_status,text
email,public,user_integration_connections,account_email,text
email,public,users,email,text
email,public,users,email_verified,timestamp without time zone
geolocation,public,geofences,lat,numeric
geolocation,public,geofences,lng,numeric
geolocation,public,hr_travel_visit_logs,lat,text
geolocation,public,hr_travel_visit_logs,lng,text
govt_identifier,public,ar_documents,ecommerce_gstin,text
govt_identifier,public,billing_profiles,gstin,character varying
govt_identifier,public,billing_profiles,pan,character varying
govt_identifier,public,clients,gstin,text
govt_identifier,public,credit_notes,customer_gstin,text
govt_identifier,public,credit_notes,supplier_gstin,text
govt_identifier,public,hr_employee_sensitive_fields,national_id,text
govt_identifier,public,hr_employee_sensitive_fields,pan_number,text
govt_identifier,public,hr_employee_sensitive_fields,passport_expiry,date
govt_identifier,public,hr_employee_sensitive_fields,passport_number,text
govt_identifier,public,hr_employee_sensitive_fields,tax_id,text
govt_identifier,public,inv_vendors,gstin,text
govt_identifier,public,invoices,customer_gstin,text
govt_identifier,public,invoices,supplier_gstin,text
govt_identifier,public,legal_entities,esi_code,text
govt_identifier,public,legal_entities,gstin,text
govt_identifier,public,legal_entities,pan,text
govt_identifier,public,legal_entities,tan,text
govt_identifier,public,payroll_entities,esi_code,text
govt_identifier,public,payroll_entities,pan,text
govt_identifier,public,payroll_entities,tan,text
govt_identifier,public,purchase_bills,supplier_gstin,text
govt_identifier,public,purchase_bills,vendor_gstin,text
ip_device,build,feedback_votes,voter_ip_hash,text
ip_device,build,roadmap_votes,voter_ip_hash,text
ip_device,public,audit_logs,ip_address,text
ip_device,public,biometric_devices,ip_address,text
ip_device,public,biometric_logs,device_id,integer
ip_device,public,external_referrals,ip_address,text
ip_device,public,hr_audit_logs,ip_address,text
ip_device,public,hr_audit_logs,user_agent,text
ip_device,public,hr_device_employee_mappings,device_id,integer
ip_device,public,hr_device_sync_logs,device_id,integer
ip_device,public,leads,ip_address,text
ip_device,public,login_history,device_id,text
ip_device,public,login_history,ip_address,text
ip_device,public,login_history,user_agent,text
ip_device,public,notification_audit_logs,ip_address,text
ip_device,public,notification_audit_logs,user_agent,text
ip_device,public,notification_consent_events,ip,text
ip_device,public,notification_consent_events,user_agent,text
ip_device,public,notification_consents,ip,text
ip_device,public,notification_consents,user_agent,text
ip_device,public,operator_access_log,ip_address,text
ip_device,public,payment_audit_events,ip_address,text
ip_device,public,payment_audit_events,user_agent,text
ip_device,public,platform_messages,ip_address,text
ip_device,public,platform_messages,user_agent,text
ip_device,public,platform_visits,user_agent,text
ip_device,public,platform_waitlist,ip_address,text
ip_device,public,platform_waitlist,user_agent,text
ip_device,public,policy_acknowledgments,ip_address,text
ip_device,public,push_subscriptions,user_agent,text
ip_device,public,sign_audit_events,ip_address,text
ip_device,public,sign_audit_events,user_agent,text
ip_device,public,sign_recipients,consent_ip,text
ip_device,public,sign_recipients,consent_user_agent,text
ip_device,public,user_sessions,device_id,text
ip_device,public,user_sessions,ip_address,text
ip_device,public,user_sessions,user_agent,text
person_name,public,bank_profiles,display_name,text
person_name,public,billing_plans,display_name,character varying
person_name,public,business_parties,display_name,text
person_name,public,business_parties,legal_name,text
person_name,public,candidates,first_name,text
person_name,public,candidates,last_name,text
person_name,public,gl_parties,display_name,text
person_name,public,gl_parties,legal_name,text
person_name,public,legal_entities,legal_name,text
person_name,public,notification_events,display_name,text
person_name,public,notification_provider_accounts,display_name,text
person_name,public,organization_people,display_name,text
person_name,public,organization_people,emergency_contact,jsonb
person_name,public,organization_people,first_name,text
person_name,public,organization_people,last_name,text
person_name,public,organization_people,preferred_name,text
person_name,public,organizations,legal_name,text
person_name,public,party_contacts,first_name,text
person_name,public,party_contacts,last_name,text
person_name,public,payment_manual_methods,display_name,text
person_name,public,payment_providers,display_name,text
person_name,public,payroll_entities,legal_name,text
person_name,public,users,emergency_contact,jsonb
person_name,public,users,first_name,text
person_name,public,users,last_name,text
phone,public,business_parties,phone,text
phone,public,business_parties,whatsapp_phone,text
phone,public,candidate_reference_checks,reference_phone,text
phone,public,candidates,phone,text
phone,public,client_accounts,client_phone,text
phone,public,client_accounts,client_whatsapp,text
phone,public,clients,phone,text
phone,public,contacts,phone,text
phone,public,crm_people,phone,text
phone,public,deals,contact_phone,text
phone,public,external_referrers,phone,text
phone,public,gl_parties,phone,text
phone,public,inv_vendors,phone,text
phone,public,leads,phone,text
phone,public,leads,whatsapp_number,text
phone,public,notification_preferences,whatsapp_enabled,boolean
phone,public,organization_people,phone,text
phone,public,organization_people,whatsapp_number,text
phone,public,organizations,support_phone,text
phone,public,party_contacts,phone,text
phone,public,platform_messages,phone,text
phone,public,recruitment_vendors,contact_phone,text
phone,public,sign_recipients,phone,text
phone,public,survey_participants,phone,text
phone,public,users,phone,text
phone,public,users,whatsapp_number,text
phone,public,users,whatsapp_same_as_phone,boolean
photo_avatar,public,blog_authors,avatar,text
photo_avatar,public,business_parties,avatar_url,text
photo_avatar,public,chat_channels,avatar_url,text
photo_avatar,public,contacts,avatar_url,text
photo_avatar,public,organization_people,avatar_url,text
photo_avatar,public,users,is_profile_picture_required,boolean
signature,public,payment_test_transactions,signature_verified,boolean
signature,public,payment_webhook_events,signature_valid,boolean
signature,public,platform_payments,provider_signature,text
signature,public,platform_payments,razorpay_signature,text
special_category,public,candidates,gender,text
special_category,public,hr_accommodation_requests,confidential_medical_note,text
special_category,public,hr_employee_sensitive_fields,blood_group,text
special_category,public,hr_employee_sensitive_fields,medical_notes,text
special_category,public,hr_safety_incidents,confidential_medical_note,text
special_category,public,hr_safety_incidents,medical_attention,boolean
special_category,public,leave_policies,gender_restriction,text
special_category,public,organization_people,gender,text
special_category,public,organization_people,nationality,text
special_category,public,salary_structure_templates,medical_allowance,numeric
special_category,public,users,gender,USER-DEFINED
