[backend] running 188 gates, concurrency 4
[backend] 39/188 check:db-generate-guard:self-test -> PASS (1797ms)
[backend] 40/188 check:dead-code:self-test -> PASS (1635ms)
[backend] 41/188 check:conflict-targets -> PASS (18846ms)
[backend] 42/188 check:declaration-column-drift:self-test -> PASS (7355ms)
[backend] 43/188 check:declaration-column-drift -> PASS (10340ms)
[backend] 44/188 check:dead-code -> PASS (16034ms)
[backend] 45/188 check:drop-column-safety -> PASS (2172ms)
[backend] 46/188 check:drop-column-safety:self-test -> PASS (1552ms)
[backend] 47/188 check:declaration-constraint-drift:self-test -> PASS (7104ms)
[backend] 48/188 check:declaration-constraint-drift -> EXIT 1 (8898ms)
[backend] 49/188 check:envelope-consistency:self-test -> PASS (1712ms)
[backend] 50/188 check:envelope-consistency -> PASS (2539ms)
[backend] 51/188 check:evidence-seal -> PASS (1901ms)
[backend] 52/188 check:evidence-seal:self-test -> PASS (1910ms)
[backend] 53/188 check:feature-flag-governance -> PASS (1857ms)
[backend] 54/188 check:feature-flag-governance:self-test -> PASS (1792ms)
[backend] 55/188 check:file-sizes:self-test -> PASS (1869ms)
[backend] 56/188 check:file-sizes -> PASS (2221ms)
[backend] 57/188 check:fire-and-forget -> PASS (2471ms)
[backend] 58/188 check:fire-and-forget:self-test -> PASS (1628ms)
[backend] 59/188 check:gate-wiring -> PASS (1843ms)
[backend] 60/188 check:gate-wiring:self-test -> PASS (1764ms)
[backend] 61/188 check:hardcoded-secrets:self-test -> PASS (1582ms)
[backend] 62/188 check:hr-pagination -> PASS (1552ms)
[backend] 63/188 check:hr-pagination:self-test -> PASS (1600ms)
[backend] 64/188 check:hr-table-freeze -> PASS (1568ms)
[backend] 65/188 check:hr-table-freeze:self-test -> PASS (1616ms)
[backend] 66/188 check:idempotent-commands -> PASS (1774ms)
[backend] 67/188 check:idempotent-commands:self-test -> PASS (1712ms)
[backend] 68/188 check:import-direction -> PASS (1646ms)
[backend] 69/188 check:hardcoded-secrets -> PASS (7974ms)
[backend] 70/188 check:import-direction:self-test -> PASS (1627ms)
[backend] 71/188 check:kebab-case -> PASS (1899ms)
[backend] 72/188 check:kebab-case:self-test -> PASS (1634ms)
[backend] 73/188 check:licenses:self-test -> PASS (1627ms)
[backend] 74/188 check:licenses -> PASS (2980ms)
[backend] 75/188 check:lifecycle-predicates -> PASS (3391ms)
[backend] 76/188 check:log-secrets -> PASS (2253ms)
[backend] 77/188 check:lifecycle-predicates:self-test -> PASS (3389ms)
[backend] 78/188 check:log-secrets:self-test -> PASS (1616ms)
[backend] 79/188 check:migration-chain:self-test -> PASS (1571ms)
[backend] 80/188 check:migration-discipline -> PASS (1635ms)
[backend] 81/188 check:migration-chain -> PASS (2687ms)
[backend] 82/188 check:migration-discipline:self-test -> PASS (1346ms)
[backend] 83/188 check:migration-immutability -> PASS (1500ms)
[backend] 84/188 check:migration-immutability:self-test -> PASS (1367ms)
[backend] 85/188 check:migration-ledger:self-test -> PASS (1359ms)
[backend] 86/188 check:migration-rollback -> PASS (1458ms)
[backend] 87/188 check:migration-ledger -> PASS (2515ms)
[backend] 88/188 check:migration-rollback:self-test -> PASS (1380ms)
[backend] 89/188 check:mock-surface:self-test -> PASS (1572ms)
[backend] 90/188 check:mock-surface -> PASS (3321ms)
[backend] 91/188 check:module-di:self-test -> PASS (1468ms)
[backend] 92/188 check:module-di -> PASS (3312ms)
[backend] 93/188 check:module-entitlement:self-test -> PASS (1439ms)
[backend] 94/188 check:module-entitlement -> PASS (1827ms)
[backend] 95/188 check:module-gate -> PASS (1636ms)
[backend] 96/188 check:module-gate:self-test -> PASS (1517ms)
[backend] 97/188 check:module-lifecycle:self-test -> PASS (1390ms)
[backend] 98/188 check:module-registration -> PASS (1503ms)
[backend] 99/188 check:module-registration:self-test -> PASS (1343ms)
[backend] 100/188 check:module-lifecycle -> PASS (4076ms)
[backend] 101/188 check:multipart-contracts -> PASS (1624ms)
[backend] 102/188 check:multipart-contracts:self-test -> PASS (1403ms)
[backend] 103/188 check:n1-growing-loops:self-test -> PASS (1981ms)
[backend] 104/188 check:namespace-coverage -> PASS (1776ms)
[backend] 105/188 check:namespace-coverage:self-test -> PASS (1494ms)
[backend] 106/188 check:navigation-permissions -> PASS (2918ms)
[backend] 107/188 check:navigation-permissions:self-test -> PASS (2028ms)
[backend] 108/188 check:openapi-coverage -> PASS (1571ms)
[backend] 109/188 check:openapi-coverage:self-test -> PASS (1464ms)
[backend] 110/188 check:openapi-path-params -> PASS (1495ms)
[backend] 111/188 check:openapi-path-params:self-test -> PASS (1415ms)
[backend] 112/188 check:operation-ids:self-test -> PASS (1446ms)
[backend] 113/188 check:operation-ids -> PASS (1569ms)
[backend] 114/188 check:outbox-consumers:self-test -> PASS (1348ms)
[backend] 115/188 check:outbox-consumers -> PASS (1877ms)
[backend] 116/188 check:over-300 -> PASS (1799ms)
[backend] 117/188 check:over-300:self-test -> PASS (1336ms)
[backend] 118/188 check:owner-authority:self-test -> PASS (1444ms)
[backend] 119/188 check:owner-authority -> PASS (2085ms)
[backend] 120/188 check:permission-keys:self-test -> PASS (2073ms)
[backend] 121/188 check:permission-keys -> PASS (2930ms)
[backend] 122/188 check:n1-growing-loops -> PASS (19142ms)
[backend] 123/188 check:placement-bypass:self-test -> PASS (1510ms)
[backend] 124/188 check:public-object-urls:self-test -> PASS (1449ms)
[backend] 125/188 check:public-object-urls -> PASS (5584ms)
[backend] 126/188 check:placement-bypass -> PASS (7056ms)
[backend] 127/188 check:record-access -> PASS (1753ms)
[backend] 128/188 check:query-projections:self-test -> PASS (2538ms)
[backend] 129/188 check:record-access:self-test -> PASS (1555ms)
[backend] 130/188 check:query-projections -> PASS (8803ms)
[backend] 131/188 check:referential-action-drift:self-test -> PASS (6305ms)
[backend] 132/188 check:referential-action-drift -> PASS (7901ms)
[backend] 133/188 check:relation-hydration -> PASS (7700ms)
[backend] 134/188 check:relation-keys:self-test -> PASS (1662ms)
[backend] 135/188 check:relation-keys -> PASS (4567ms)
[backend] 136/188 check:replay-ledger -> EXIT 2 (1519ms)
[backend] 137/188 check:replay-ledger:self-test -> EXIT 2 (1550ms)
[backend] 138/188 check:relation-hydration:self-test -> PASS (7559ms)
[backend] 139/188 check:repo-paths:self-test -> PASS (1437ms)
[backend] 140/188 check:restrict-fks -> PASS (1581ms)
[backend] 141/188 check:restrict-fks:self-test -> PASS (1408ms)
[backend] 142/188 check:retention-coverage:self-test -> PASS (1385ms)
[backend] 143/188 check:retention-coverage -> PASS (2598ms)
[backend] 144/188 check:route-budgets -> EXIT 1 (1411ms)
[backend] 145/188 check:route-budgets-http -> PASS (1297ms)
[backend] 146/188 check:route-budgets-http:self-test -> PASS (1330ms)
[backend] 147/188 check:route-budgets:self-test -> PASS (1351ms)
[backend] 148/188 check:route-classification:self-test -> PASS (1335ms)
[backend] 149/188 check:route-classification -> PASS (1979ms)
[backend] 150/188 check:route-duplicates -> PASS (1447ms)
[backend] 151/188 check:route-duplicates:self-test -> PASS (1470ms)
[backend] 152/188 check:s05-artifact-contract -> PASS (1521ms)
[backend] 153/188 check:scope-application -> PASS (1925ms)
[backend] 154/188 check:scope-application:self-test -> PASS (1410ms)
[backend] 155/188 check:set-null-column-lists:self-test -> PASS (6713ms)
[backend] 156/188 check:set-null-column-lists -> PASS (8172ms)
[backend] 157/188 check:tenant-indexes -> PASS (1743ms)
[backend] 158/188 check:tenant-indexes:self-test -> PASS (1944ms)
[backend] 159/188 check:tenant-isolation -> PASS (43556ms)
[backend] 160/188 check:spec-typecheck -> PASS (159191ms)
[backend] 161/188 check:tenant-isolation:self-test -> PASS (1487ms)
[backend] 162/188 check:spec-typecheck:self-test -> PASS (156732ms)
[backend] 163/188 check:tenant-relationships:self-test -> PASS (1252ms)
[backend] 164/188 check:tenant-relationships -> EXIT 2 (3571ms)
[backend] 165/188 check:test-suppressions:self-test -> PASS (1309ms)
[backend] 166/188 check:test-suppressions -> EXIT 1 (2791ms)
[backend] 167/188 check:test-typecheck:self-test -> PASS (2794ms)
[backend] 168/188 check:transaction-callbacks -> PASS (1872ms)
[backend] 169/188 check:transaction-callbacks:self-test -> PASS (1457ms)
[backend] 170/188 check:type-assertions -> PASS (5930ms)
[backend] 171/188 check:type-assertions:self-test -> PASS (1751ms)
[backend] 172/188 check:unbounded-reads -> PASS (2053ms)
[backend] 173/188 check:unbounded-reads:self-test -> PASS (1669ms)
[backend] 174/188 check:unjoined-table-refs -> PASS (1803ms)
[backend] 175/188 check:unjoined-table-refs:self-test -> PASS (1360ms)
[backend] 176/188 check:vacuous-assertions -> PASS (4927ms)
[backend] 177/188 check:vacuous-assertions:self-test -> PASS (1648ms)
[backend] 178/188 check:tenant-isolation:run -> PASS (141358ms)
[backend] 179/188 check:vulnerabilities:self-test -> PASS (1268ms)
[backend] 180/188 check:test-typecheck -> PASS (44779ms)
[backend] 181/188 verify:chat-mentions -> EXIT 1 (29546ms)
[backend] 182/188 verify:membership-revocation -> PASS (61347ms)
[backend] 183/188 verify:permissions -> PASS (2287ms)
[backend] 184/188 verify:rbac-integrity -> PASS (23145ms)
[backend] 185/188 verify:rbac-integrity:self-test -> PASS (1089ms)
[backend] 186/188 verify:multi-org-employment -> EXIT 1 (73575ms)
[backend] 187/188 check:vulnerabilities -> EXIT 2 (253631ms)
[backend] 188/188 check:cycles -> PASS (878296ms)

[backend] DONE  PASS=177  NOT-PASS=11  TOTAL=188
  check:alert-ack -> exit 2
  check:benchmark-manifest -> exit 1
  check:declaration-constraint-drift -> exit 1
  check:replay-ledger -> exit 2
  check:replay-ledger:self-test -> exit 2
  check:route-budgets -> exit 1
  check:tenant-relationships -> exit 2
  check:test-suppressions -> exit 1
  check:vulnerabilities -> exit 2
  verify:chat-mentions -> exit 1
  verify:multi-org-employment -> exit 1
