[backend] running 188 gates, concurrency 5
[backend] 133/188 check:relation-keys:self-test -> PASS (1581ms)
[backend] 134/188 check:relation-hydration -> PASS (8778ms)
[backend] 135/188 check:replay-ledger -> EXIT 2 (1696ms)
[backend] 136/188 check:replay-ledger:self-test -> EXIT 2 (1751ms)
[backend] 137/188 check:relation-keys -> PASS (4636ms)
[backend] 138/188 check:repo-paths:self-test -> PASS (1680ms)
[backend] 139/188 check:relation-hydration:self-test -> PASS (8074ms)
[backend] 140/188 check:restrict-fks -> PASS (1623ms)
[backend] 141/188 check:restrict-fks:self-test -> PASS (1477ms)
[backend] 142/188 check:retention-coverage:self-test -> PASS (1705ms)
[backend] 143/188 check:route-budgets -> EXIT 1 (1934ms)
[backend] 144/188 check:route-budgets-http -> PASS (1652ms)
[backend] 145/188 check:route-budgets-http:self-test -> PASS (1431ms)
[backend] 146/188 check:route-budgets:self-test -> PASS (1381ms)
[backend] 147/188 check:route-classification -> PASS (1916ms)
[backend] 148/188 check:route-classification:self-test -> PASS (1293ms)
[backend] 149/188 check:route-duplicates -> PASS (1599ms)
[backend] 150/188 check:route-duplicates:self-test -> PASS (1517ms)
[backend] 151/188 check:s05-artifact-contract -> PASS (1468ms)
[backend] 152/188 check:scope-application -> PASS (1729ms)
[backend] 153/188 check:scope-application:self-test -> PASS (1327ms)
[backend] 154/188 check:set-null-column-lists -> EXIT 2 (6540ms)
[backend] 155/188 check:set-null-column-lists:self-test -> PASS (6745ms)
[backend] 156/188 check:tenant-indexes -> PASS (1514ms)
[backend] 157/188 check:tenant-indexes:self-test -> PASS (1980ms)
[backend] 158/188 check:retention-coverage -> PASS (22936ms)
[backend] 159/188 check:tenant-isolation -> EXIT 1 (63905ms)
[backend] 160/188 check:tenant-isolation:self-test -> PASS (4517ms)
[backend] 161/188 check:tenant-relationships -> EXIT 2 (5349ms)
[backend] 162/188 check:tenant-relationships:self-test -> PASS (2480ms)
[backend] 163/188 check:test-suppressions -> EXIT 1 (3850ms)
[backend] 164/188 check:test-suppressions:self-test -> PASS (5272ms)
[backend] 165/188 check:spec-typecheck -> PASS (199983ms)
[backend] 166/188 check:spec-typecheck:self-test -> PASS (204547ms)
[backend] 167/188 check:tenant-isolation:run -> PASS (199752ms)
[backend] 168/188 check:transaction-callbacks -> PASS (6117ms)
[backend] 169/188 check:transaction-callbacks:self-test -> PASS (2263ms)
[backend] 170/188 check:type-assertions:self-test -> PASS (3187ms)
[backend] 171/188 check:unbounded-reads -> PASS (2442ms)
[backend] 172/188 check:unbounded-reads:self-test -> PASS (2201ms)
[backend] 173/188 check:type-assertions -> EXIT 1 (9307ms)
[backend] 174/188 check:unjoined-table-refs:self-test -> PASS (2199ms)
[backend] 175/188 check:unjoined-table-refs -> PASS (2883ms)
[backend] 176/188 check:test-typecheck:self-test -> EXIT 1 (30483ms)
[backend] 177/188 check:vacuous-assertions:self-test -> PASS (2275ms)
[backend] 178/188 check:vulnerabilities:self-test -> PASS (2093ms)
[backend] 179/188 check:vacuous-assertions -> PASS (7194ms)
[backend] 180/188 verify:chat-mentions -> EXIT 1 (14302ms)
[backend] 181/188 check:test-typecheck -> PASS (206301ms)
[backend] 182/188 verify:permissions -> PASS (2746ms)
[backend] 183/188 verify:membership-revocation -> PASS (91083ms)
[backend] 184/188 verify:rbac-integrity:self-test -> PASS (1603ms)
[backend] 185/188 verify:rbac-integrity -> PASS (25117ms)
[backend] 186/188 verify:multi-org-employment -> EXIT 1 (104050ms)
[backend] 187/188 check:vulnerabilities -> EXIT 2 (253540ms)
[backend] 188/188 check:cycles -> PASS (784161ms)

[backend] DONE  PASS=170  NOT-PASS=18  TOTAL=188
  check:alert-ack -> exit 2
  check:audit-log-privileges -> exit 2
  check:benchmark-manifest -> exit 1
  check:declaration-constraint-drift -> exit 1
  check:file-sizes -> exit 1
  check:referential-action-drift -> exit 2
  check:replay-ledger -> exit 2
  check:replay-ledger:self-test -> exit 2
  check:route-budgets -> exit 1
  check:set-null-column-lists -> exit 2
  check:tenant-isolation -> exit 1
  check:tenant-relationships -> exit 2
  check:test-suppressions -> exit 1
  check:test-typecheck:self-test -> exit 1
  check:type-assertions -> exit 1
  check:vulnerabilities -> exit 2
  verify:chat-mentions -> exit 1
  verify:multi-org-employment -> exit 1
